Year,Transistors,t-1,t-1_Diff,t-2,t-2_Diff
1979,"$29,164.00","$6,098.00","$2,543.00","$3,555.00","$1,247.00"
1982,"$135,773.00","$29,164.00","$23,066.00","$6,098.00","$2,543.00"
1985,"$273,842.00","$135,773.00","$106,609.00","$29,164.00","$23,066.00"
1989,"$1,207,901.00","$273,842.00","$138,069.00","$135,773.00","$106,609.00"
1993,"$3,105,900.00","$1,207,901.00","$934,059.00","$273,842.00","$138,069.00"
1995,"$9,646,616.00","$3,105,900.00","$1,897,999.00","$1,207,901.00","$934,059.00"
1998,"$15,261,378.00","$9,646,616.00","$6,540,716.00","$3,105,900.00","$1,897,999.00"
1999,"$21,673,922.00","$15,261,378.00","$5,614,762.00","$9,646,616.00","$6,540,716.00"
2000,"$37,180,267.00","$21,673,922.00","$6,412,544.00","$15,261,378.00","$5,614,762.00"
2001,"$42,550,655.00","$37,180,267.00","$15,506,345.00","$21,673,922.00","$6,412,544.00"
2002,"$55,730,604.00","$42,550,655.00","$5,370,388.00","$37,180,267.00","$15,506,345.00"
2003,"$151,247,255.00","$55,730,604.00","$13,179,949.00","$42,550,655.00","$5,370,388.00"
2004,"$273,841,963.00","$151,247,255.00","$95,516,651.00","$55,730,604.00","$13,179,949.00"
2005,"$305,052,789.00","$273,841,963.00","$122,594,708.00","$151,247,255.00","$95,516,651.00"
2006,"$582,941,535.00","$305,052,789.00","$31,210,826.00","$273,841,963.00","$122,594,708.00"
2007,"$805,842,188.00","$582,941,535.00","$277,888,746.00","$305,052,789.00","$31,210,826.00"
2009,"$2,308,241,527.00","$805,842,188.00","$222,900,653.00","$582,941,535.00","$277,888,746.00"
2013,"$5,000,000,000.00","$2,308,241,527.00","$1,502,399,339.00","$805,842,188.00","$222,900,653.00"
2014,"$5,700,000,000.00","$5,000,000,000.00","$2,691,758,473.00","$2,308,241,527.00","$1,502,399,339.00"
2015,"$10,000,000,000.00","$5,700,000,000.00","$700,000,000.00","$5,000,000,000.00","$2,691,758,473.00"
2017,"$19,200,000,000.00","$10,000,000,000.00","$4,300,000,000.00","$5,700,000,000.00","$700,000,000.00"
2018,"$12,298,962,500.00","$19,200,000,000.00","$9,200,000,000.00","$10,000,000,000.00","$4,300,000,000.00"